
ProductKey,SKU,ProductName,Descriptions,Condition,ProductType,Brand,Tags,CostPrice,RetailPrice,DateCreatedAt,DateDiscontinuedAt,IsActive
1,SEN23322,Manfrotto MN1004BAC Master Light Stand ,Master Light Stand,Display,ACCESSORY,SENNHEISER,TRIPODS,57.979999542236328,114.98999786376953,2015-05-10,1900-01-01,1
2,SO6677,Manfrotto MT057C3 Carbon Fibre 3 Section Geared ,Carbon Fibre 3 Section Geared,Display,ACCESSORY,SONY,TRIPODS,298.97000122070313,584.989990234375,2015-05-10,1900-01-01,1
3,JV2222,Rycote 37705 Portable Recorder Suspension ,Portable Recorder Suspension,New,CAMCORDER,JVC,CAMACC,0,59.990001678466797,2015-05-10,1900-01-01,1
4,SEN222,Hoya 37S-HOY 37MM SKYLIGHT FILTER Hoya ,37MM SKYLIGHT FILTER Hoya,New,IMAGING,SENNHEISER,"Discontinued, FILTERS",9.9999997764825821E-3,19.889999389648438,2015-05-10,1900-01-01,1
5,TOW222,HOYA 40.5mm CP Filter - Slim ,HOYA 40.5mm CP Filter - Slim,New,IMAGING,TOSHIBA,FILTERS,17.079999923706055,34.990001678466797,2015-05-10,1900-01-01,1
6,MS7771,Rycote 41118 Portable Recorder Suspension ,Portable Recorder Suspension,New,CAMCORDER,MSCS,CAMACC,0,59.990001678466797,2015-05-10,1900-01-01,1
7,CO8211,Rycote 41126 Invision Video Hotshoe ,Invision Video Hotshoe,New,CAMCORDER,TOSHIBA,CAMACC,0,49.990001678466797,2015-05-10,1900-01-01,1
8,CO2J111,Rycote 41127 Invision Video Hotshoe ,Invision Video Hotshoe,New,CAMCORDER,MSCS,CAMACC,0,49.990001678466797,2015-05-10,1900-01-01,1
9,SOL2222,Rycote 41128 Invision Video Hotshoe ,Invision Video Hotshoe,New,CAMCORDER,MSCS,CAMACC,0,49.990001678466797,2015-05-10,1900-01-01,1
10,SOl2211,Verbatim 43441 Light Scribe CD spindle ,Light Scribe CD spindle,New,ACCESSORY,MSCS,"Discontinued, RECMEDIA",9.9999997764825821E-3,7.9899997711181641,2015-05-10,1900-01-01,1
11,TOMCC,Hoya 46mm Slim PL-CIR (Circular Polarising) Filter,HOYA 46mm CP Filter - Slim,New,IMAGING,Hoya,FILTERS,18.75,34.990001678466797,2015-05-10,1900-01-01,1
12,SO9999,Hoya Revo 52mm SMC UV Filter ,Hoya Revo 52mm SMC UV Filter,New,IMAGING,Hoya,FILTERS,20.399999618530273,49.990001678466797,2015-05-10,1900-01-01,1
13,JVRRRR2,Rycote 55314 Full Windshield Kit ,Full Windshield Kit,New,ACCESSORY,Rycote,MICROPHONE,0,429.989990234375,2015-05-10,1900-01-01,1
14,SUM33444,Rycote 55384 Full Windshield Kit ,Full Windshield Kit,New,ACCESSORY,Rycote,MICROPHONE,0,429.989990234375,2015-05-10,1900-01-01,1
15,TOHDCC,Rycote 55409 Full Windshield Kit ,Full Windshield Kit,New,ACCESSORY,Rycote,MICROPHONE,0,429.989990234375,2015-05-10,1900-01-01,1
16,CANI999,Rycote 55410 Full Windshield Kit ,Full Windshield Kit,New,ACCESSORY,Rycote,MICROPHONE,0,429.989990234375,2015-05-10,1900-01-01,1
17,JV66622,Rycote 55412 Full Windshield Kit ,Full Windshield Kit,New,ACCESSORY,Rycote,MICROPHONE,0,429.989990234375,2015-05-10,1900-01-01,1
18,TO2333,Rycote 55417 Full Windshield Kit ,Full Windshield Kit,New,ACCESSORY,Rycote,MICROPHONE,0,429.989990234375,2015-05-10,1900-01-01,1
19,SAMrr22,Rycote 55430 Full Windshield Kit ,Full Windshield Kit,New,ACCESSORY,Rycote,MICROPHONE,0,429.989990234375,2015-05-10,1900-01-01,1
20,SO777W,Rycote 55438 Full Windshield Kit ,Full Windshield Kit,New,ACCESSORY,Rycote,MICROPHONE,0,429.989990234375,2015-05-10,1900-01-01,1
21,SOY992,Rycote 55439 Full Windshield Kit ,Full Windshield Kit,New,ACCESSORY,Rycote,MICROPHONE,0,429.989990234375,2015-05-10,1900-01-01,1
